epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
33,2414.13,0.53203,0.53254,0.84323,0.03319,0.93141,0.85907,0.91348,0.81993,0.40158,0.38428,0.796,0,2.96784e-05,2.96784e-05,2.96784e-05,1.48392e-05
34,2481.13,0.52801,0.5247,0.84477,0.03314,0.92338,0.86146,0.91384,0.81765,0.40266,0.38253,0.79581,0,2.80746e-05,2.80746e-05,2.80746e-05,1.40373e-05
35,2548.12,0.52874,0.52464,0.84274,0.03316,0.93179,0.85946,0.91373,0.81902,0.4039,0.38176,0.79639,0,2.64708e-05,2.64708e-05,2.64708e-05,1.32354e-05
36,2615.71,0.52173,0.51347,0.84174,0.03294,0.93294,0.86298,0.917,0.8189,0.40391,0.37899,0.79604,0,2.4867e-05,2.4867e-05,2.4867e-05,1.24335e-05
37,2682.74,0.52854,0.51931,0.84225,0.03161,0.93365,0.85998,0.91704,0.82131,0.3978,0.37536,0.79522,0,2.32632e-05,2.32632e-05,2.32632e-05,1.16316e-05
38,2749.92,0.52357,0.51501,0.84099,0.02846,0.93501,0.8635,0.91791,0.82097,0.39765,0.37339,0.79495,0,2.16594e-05,2.16594e-05,2.16594e-05,1.08297e-05
39,2818.01,0.52141,0.50961,0.8396,0.02457,0.9382,0.86079,0.91865,0.8232,0.39531,0.37167,0.79468,0,2.00556e-05,2.00556e-05,2.00556e-05,1.00278e-05
40,2886.43,0.51568,0.5064,0.83968,0.01996,0.9344,0.86383,0.91974,0.82433,0.39526,0.37101,0.79453,0,1.84518e-05,1.84518e-05,1.84518e-05,9.2259e-06
41,2954.85,0.49068,0.51333,0.82125,0.01539,0.92894,0.85576,0.9135,0.81408,0.41384,0.38428,0.79671,0,1.6848e-05,1.6848e-05,1.6848e-05,8.424e-06
42,3021.25,0.47273,0.49347,0.8173,0.01108,0.94131,0.85622,0.91465,0.8154,0.41145,0.38053,0.79667,0,1.52442e-05,1.52442e-05,1.52442e-05,7.6221e-06
43,3089.02,0.47225,0.48953,0.81894,0.00747,0.94798,0.85902,0.91655,0.81836,0.40502,0.37643,0.79552,0,1.36404e-05,1.36404e-05,1.36404e-05,6.8202e-06
44,3160,0.46395,0.48144,0.81748,0.00466,0.94697,0.85692,0.91786,0.81909,0.40798,0.37458,0.79564,0,1.20366e-05,1.20366e-05,1.20366e-05,6.0183e-06
45,3229.35,0.46516,0.48116,0.81668,0.0027,0.93738,0.86494,0.91819,0.81914,0.40555,0.37298,0.79536,0,1.04328e-05,1.04328e-05,1.04328e-05,5.2164e-06
46,3298.36,0.46357,0.47807,0.81657,0.00145,0.94093,0.86805,0.91935,0.82247,0.39957,0.36929,0.79469,0,8.829e-06,8.829e-06,8.829e-06,4.4145e-06
47,3368.05,0.45586,0.47069,0.8146,0.0007,0.93495,0.8692,0.92031,0.82474,0.40003,0.36834,0.79484,0,7.2252e-06,7.2252e-06,7.2252e-06,3.6126e-06
48,3437.14,0.4599,0.47299,0.81648,0.00031,0.94798,0.86334,0.91938,0.82254,0.40199,0.36714,0.79482,0,5.6214e-06,5.6214e-06,5.6214e-06,2.8107e-06
49,3508.94,0.45478,0.46905,0.81412,0.00012,0.94828,0.8606,0.92022,0.82486,0.39883,0.36619,0.79443,0,4.0176e-06,4.0176e-06,4.0176e-06,2.0088e-06
50,3584.3,0.45285,0.46841,0.81371,4e-05,0.9482,0.8617,0.92044,0.82344,0.40066,0.36659,0.79477,0,2.4138e-06,2.4138e-06,2.4138e-06,1.2069e-06
