epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,100.525,4.44205,6.25917,4.22977,0.07097,0.00029,0.00079,0.00016,5e-05,4.32298,5.79284,4.18732,0,2.69189e-05,2.69189e-05,2.69189e-05,1.34595e-05
2,183.009,4.29513,6.13518,4.07698,0.03895,0.00043,0.00151,0.00022,4e-05,4.04923,5.52364,3.89999,0,5.33851e-05,5.33851e-05,5.33851e-05,2.66926e-05
3,259.982,4.10336,5.78036,3.80369,0.02336,0.00592,0.02542,0.00516,0.0015,3.76045,4.90163,3.61524,0,7.93167e-05,7.93167e-05,7.93167e-05,3.96584e-05
4,341.526,3.78284,5.02352,3.54471,0.0152,0.52758,0.01874,0.00879,0.00231,3.424,3.94561,3.34127,0,7.85943e-05,7.85943e-05,7.85943e-05,3.92971e-05
5,424.927,3.49098,4.29501,3.23683,0.01065,0.26687,0.03699,0.0168,0.005,3.22565,3.46944,3.0469,0,7.77924e-05,7.77924e-05,7.77924e-05,3.88962e-05
6,505.406,3.27766,3.81179,2.94575,0.00799,0.22797,0.04538,0.02677,0.00896,3.03156,3.1508,2.78696,0,7.69905e-05,7.69905e-05,7.69905e-05,3.84953e-05
7,585.206,3.04791,3.42042,2.66966,0.0064,0.24817,0.06039,0.04193,0.01345,2.84369,2.8914,2.55581,0,7.61886e-05,7.61886e-05,7.61886e-05,3.80943e-05
8,664.137,2.87918,3.16425,2.4653,0.00544,0.32118,0.08676,0.06068,0.02247,2.6052,2.63752,2.32092,0,7.53867e-05,7.53867e-05,7.53867e-05,3.76934e-05
